artist,album,track
Mitski,"Retired from Sad, New Career in Business",Strawberry Blond
Mirah,(A)SPERA,Country Of The Future
Clutchy Hopkins,The Life Of Clutchy Hopkins,3:06
Mitski,Be the Cowboy,Washing Machine Heart
Lotte Kestner,The Bluebird of Happiness,Turn the Wolves
Björk,Utopia,Paradisia
Big K.R.I.T.,TDT,Pick Yourself Up
Björk,Utopia,Blissing Me
Mirah,(A)SPERA,The World Is Falling
This Is The Kit,Bashed Out,Bashed Out
Nirvana,MTV Unplugged In New York,Oh Me
Beirut,The Flying Club Cup,Guyamas Sonora
Mitski,Be the Cowboy,Remember My Name
Jidenna,Boomerang,Decibels
Cardi B,Invasion of Privacy,I Like It
